folio;folioArmstrong;presi;nnot;prensa;yr;mes;inicio;fin;duracion;ddpp;leg;bboo;id_legb;inst;min;ciuur4;ciuur3;ciuur2;trabemp;rangoemp;org;orgb;tc;externo;extgeo;reg1;reg2;reg3;com1;lat1;long1;com2;lat2;long2;com3;lat3;long3;dem1;dem2;dem3;dem4;dem5;tactica1;tactica2;tactica3;tactica4;tactica5;lockout;blanco1;blanco2;blanco3;poli;enfrentamiento;arresto;heridos;neg;dis_sin_enf;fuerza_pol;bomb;carros;n_det;muertos;n_muertos;aliado1;central1;aliado2;central2;aliado3;central3;autoridad;dhtp;acuerdo;cod;Comentarios;dem.antigua;
;1;1;;;1979;;;;26,0;21,0;1;;;1;;;;3;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;441,0;;;;1,0;
;2;1;;;1979;;;;38,4;26,4;1;;;1;;;;3;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1557,6;;;;1,0;
;3;1;;;1979;;;;18,0;14,0;1;;;1;;;;11;;;;;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1652,0;;;;1,0;
;4;1;;;1979;;;;14,0;12,0;1;;;1;;;;2;;;;;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1488,0;;;;1,0;
;5;1;;;1979;;;;1,2;1,2;1;;;1;;;;3;;;;;283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;339,6;;;;1,0;
;6;1;;;1979;;;;1,2;1,2;1;;;1;;;;3;;;;;193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;231,6;;;;1,0;
;7;1;;;1979;;;;14,4;9,6;1;;;1;;;;3;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;451,2;;;;1,0;
;8;1;;;1979;;;;18,0;16,0;1;;;1;;;;3;;;;;618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9888,0;;;;1,0;
;9;1;;;1979;;;;9,0;8,0;1;;;1;;;;3;;;;;4746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37968,0;;;;1,0;
;10;1;;;1979;;;;16,8;12,0;1;;;1;;;;3;;;;;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1224,0;;;;1,0;
